,"PLANTA: TODAS LAS PLANTAS
PROCESO: APOYO
AREA: SISTEMAS Y TELECOMUNICACIONES
",,,,,,,,,"Tipo: FTO
Código: FTO-SYT-19
Revisión: 00
Página: 1 
",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Formato de actualización de precios de compra.,,,,,,,,,#¡REF!,,
,,,,,,,,,,#¡REF!,,
,,,,,,,,,|,,,
COMPANY_CODE,DIVISION,PRICE_RECORD_NUMBER,CUSTOMER_NUMBER,WAREHOUSE,PART_CODE,SYS_CURRENCY_CODE,UNIT_PRICE,PRICE_CODE,DESCRPTION,VALID_FROM_DATE,VALID_TO_DATE,SALES_PRICE
id_compañia,id_division,numero_concecutivo,codigo_cliente,almacen,codigo_producto,moneda_contrato,unidad_medida_(kg),codigo_precio,descripcion,fecha_valida_desde,fecha_valida_hasta,precio
01,01,122,C010255,V5,TOH1-000-P,MXP,KG,PURATOS,DHRX-HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,123,C010255,V5,TOY1-004-P,MXP,KG,PURATOS,DYPE-YEMA DESHIDRATADA ,01/03/2022,30/03/2022, 10.00 
01,01,124,C010255,V5,TOH1-010-P,MXP,KG,PURATOS,HUEVO MEGGA BATIDOS,01/03/2022,30/03/2022, 10.00 
01,01,125,C010255,V5,TOA1-001-P,MXP,KG,PURATOS,ALBUMINA NORMAL RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,126,C010265,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PAN ,01/03/2022,30/03/2022, 10.00 
01,01,127,C010265,A5,TCY1-000-P,MXP,KG,PURATOS,YCPG-YEMA CONGELADA GOURMET          ,01/03/2022,30/03/2022, 10.00 
01,01,128,C010269,V5,TOA1-003-P,MXP,KG,PURATOS,ALBUMINA ALTA ESPUMA,01/03/2022,30/03/2022, 10.00 
01,01,129,C010271,V5,TOH1-011-P,MXP,KG,PURATOS,HUEVO MEGGA FERMENTADOS,01/03/2022,30/03/2022, 10.00 
01,01,130,C010273,V5,TOH1-010-P,MXP,KG,PURATOS,HUEVO MEGGA BATIDOS,01/03/2022,30/03/2022, 10.00 
01,01,131,C010273,V5,TOH1-011-P,MXP,KG,PURATOS,HUEVO MEGGA FERMENTADOS,01/03/2022,30/03/2022, 10.00 
01,01,132,C010278,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,133,C010278,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,134,C010298,V5,TOY1-000-P,MXP,KG,PURATOS,YEMA DESHIDRATADA 70,01/03/2022,30/03/2022, 10.00 
01,01,135,C010305,V5,TOY1-004-P,MXP,KG,PURATOS,YEMA DESHIDRATADA,01/03/2022,30/03/2022, 10.00 
01,01,136,C010307,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,137,C010307,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,138,C010308,V5,TOA1-009-P,MXP,KG,PURATOS,ALBUMINA ALTA ESPUMA M900,01/03/2022,30/03/2022, 10.00 
01,01,139,C010312,V5,TOH1-002-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO PET,01/03/2022,30/03/2022, 10.00 
01,01,140,C010317,V5,TOY1-000-P,MXP,KG,PURATOS,YEMA DESHIDRATADA 70,01/03/2022,30/03/2022, 10.00 
01,01,141,C010317,A5,TLY1-003-P,MXP,KG,PURATOS,YLSH-YEMA LIQUIDA 10% SAL,01/03/2022,30/03/2022, 10.00 
01,01,142,C010325,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,143,C010325,V5,TOA1-002-P,MXP,KG,PURATOS,ALBUMINA Ph AJUSTADO,01/03/2022,30/03/2022, 10.00 
01,01,144,C010325,V5,TOY1-004-P,MXP,KG,PURATOS,YEMA DESHIDRATADA,01/03/2022,30/03/2022, 10.00 
01,01,145,C010037,A5,TCC1-001-P,MXP,KG,PURATOS,CCPE-CLARA CONGELADA PAST. ESTANDAR,01/03/2022,30/03/2022, 10.00 
01,01,146,C010351,V5,TOA1-001-P,MXP,KG,PURATOS,ALBUMINA NORMAL RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,147,C010351,V5,TOA1-007-P,MXP,KG,PURATOS,ALBUMINA Ph AJUSTADO,01/03/2022,30/03/2022, 10.00 
01,01,148,C010351,V5,TOY1-004-P,MXP,KG,PURATOS,YEMA DESHIDRATADA,01/03/2022,30/03/2022, 10.00 
01,01,149,C010351,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,150,C010213,V5,TOA1-006-P,MXP,KG,PURATOS,ALBUMINA PARA CAPEADOS,01/03/2022,30/03/2022, 10.00 
01,01,151,C010354,A5,TCC1-001-P,MXP,KG,PURATOS,CCPE-CLARA CONGELADA PAST. ESTANDAR,01/03/2022,30/03/2022, 10.00 
01,01,152,C010324,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
